file,year,var_code
FAM2009ER_full.csv,2009,ER42252
FAM2009ER_full.csv,2009,ER42253
FAM2009ER_full.csv,2009,ER42254
FAM2009ER_full.csv,2009,ER42255
FAM2009ER_full.csv,2009,ER42256
FAM2009ER_full.csv,2009,ER42257
FAM2009ER_full.csv,2009,ER42258
FAM2009ER_full.csv,2009,ER42259
FAM2009ER_full.csv,2009,ER42260
FAM2009ER_full.csv,2009,ER42261
FAM2009ER_full.csv,2009,ER42262
FAM2009ER_full.csv,2009,ER42263
FAM2009ER_full.csv,2009,ER42264
FAM2009ER_full.csv,2009,ER42265
FAM2009ER_full.csv,2009,ER42266
FAM2009ER_full.csv,2009,ER42267
FAM2009ER_full.csv,2009,ER42268
FAM2009ER_full.csv,2009,ER42269
FAM2009ER_full.csv,2009,ER42270
FAM2009ER_full.csv,2009,ER42271
FAM2009ER_full.csv,2009,ER42272
FAM2009ER_full.csv,2009,ER42273
FAM2009ER_full.csv,2009,ER42274
FAM2009ER_full.csv,2009,ER42275
FAM2009ER_full.csv,2009,ER42276
FAM2009ER_full.csv,2009,ER42277
FAM2009ER_full.csv,2009,ER42278
FAM2009ER_full.csv,2009,ER42279
FAM2009ER_full.csv,2009,ER42280
FAM2009ER_full.csv,2009,ER42281
FAM2009ER_full.csv,2009,ER42282
FAM2009ER_full.csv,2009,ER42283
FAM2009ER_full.csv,2009,ER42284
FAM2009ER_full.csv,2009,ER42285
FAM2009ER_full.csv,2009,ER42286
FAM2009ER_full.csv,2009,ER42287
FAM2009ER_full.csv,2009,ER42288
FAM2009ER_full.csv,2009,ER42289
FAM2009ER_full.csv,2009,ER42290
FAM2009ER_full.csv,2009,ER42291
FAM2009ER_full.csv,2009,ER42292
FAM2009ER_full.csv,2009,ER42293
FAM2009ER_full.csv,2009,ER42294
FAM2009ER_full.csv,2009,ER42295
FAM2009ER_full.csv,2009,ER42296
FAM2009ER_full.csv,2009,ER42297
FAM2009ER_full.csv,2009,ER42298
FAM2009ER_full.csv,2009,ER42299
FAM2009ER_full.csv,2009,ER42300
FAM2009ER_full.csv,2009,ER42301
FAM2009ER_full.csv,2009,ER42302
FAM2009ER_full.csv,2009,ER42303
FAM2009ER_full.csv,2009,ER42304
FAM2009ER_full.csv,2009,ER42305
FAM2009ER_full.csv,2009,ER42306
FAM2009ER_full.csv,2009,ER42307
FAM2009ER_full.csv,2009,ER42308
FAM2009ER_full.csv,2009,ER42309
FAM2009ER_full.csv,2009,ER42310
FAM2009ER_full.csv,2009,ER42311
FAM2009ER_full.csv,2009,ER42312
FAM2009ER_full.csv,2009,ER42313
FAM2009ER_full.csv,2009,ER42314
FAM2009ER_full.csv,2009,ER42315
FAM2009ER_full.csv,2009,ER42316
FAM2009ER_full.csv,2009,ER42317
FAM2009ER_full.csv,2009,ER42318
FAM2009ER_full.csv,2009,ER42319
FAM2009ER_full.csv,2009,ER42320
FAM2009ER_full.csv,2009,ER42321
FAM2009ER_full.csv,2009,ER42322
FAM2009ER_full.csv,2009,ER42323
FAM2009ER_full.csv,2009,ER42324
FAM2009ER_full.csv,2009,ER42325
FAM2009ER_full.csv,2009,ER42326
FAM2009ER_full.csv,2009,ER42327
FAM2009ER_full.csv,2009,ER42328
FAM2009ER_full.csv,2009,ER42329
FAM2009ER_full.csv,2009,ER42330
FAM2009ER_full.csv,2009,ER42331
FAM2009ER_full.csv,2009,ER42332
FAM2009ER_full.csv,2009,ER42333
FAM2009ER_full.csv,2009,ER42334
FAM2009ER_full.csv,2009,ER42335
FAM2009ER_full.csv,2009,ER42336
FAM2009ER_full.csv,2009,ER42337
FAM2009ER_full.csv,2009,ER42338
FAM2009ER_full.csv,2009,ER42339
FAM2009ER_full.csv,2009,ER42340
FAM2009ER_full.csv,2009,ER42341
FAM2009ER_full.csv,2009,ER42342
FAM2009ER_full.csv,2009,ER42343
FAM2009ER_full.csv,2009,ER42344
FAM2009ER_full.csv,2009,ER42345
FAM2009ER_full.csv,2009,ER42346
FAM2009ER_full.csv,2009,ER42347
FAM2009ER_full.csv,2009,ER42348
FAM2009ER_full.csv,2009,ER42349
FAM2009ER_full.csv,2009,ER42350
FAM2009ER_full.csv,2009,ER42351
FAM2009ER_full.csv,2009,ER42352
FAM2009ER_full.csv,2009,ER42353
FAM2009ER_full.csv,2009,ER42354
FAM2009ER_full.csv,2009,ER42355
FAM2009ER_full.csv,2009,ER42356
FAM2009ER_full.csv,2009,ER42357
FAM2009ER_full.csv,2009,ER42358
FAM2009ER_full.csv,2009,ER42359
FAM2009ER_full.csv,2009,ER42360
FAM2009ER_full.csv,2009,ER42361
FAM2009ER_full.csv,2009,ER42362
FAM2009ER_full.csv,2009,ER42363
FAM2009ER_full.csv,2009,ER42364
FAM2009ER_full.csv,2009,ER42365
FAM2009ER_full.csv,2009,ER42366
FAM2009ER_full.csv,2009,ER42367
FAM2009ER_full.csv,2009,ER42368
FAM2009ER_full.csv,2009,ER42369
FAM2009ER_full.csv,2009,ER42370
FAM2009ER_full.csv,2009,ER42371
FAM2009ER_full.csv,2009,ER42372
FAM2009ER_full.csv,2009,ER42373
FAM2009ER_full.csv,2009,ER42374
FAM2009ER_full.csv,2009,ER42375
FAM2009ER_full.csv,2009,ER42376
FAM2009ER_full.csv,2009,ER42377
FAM2009ER_full.csv,2009,ER42378
FAM2009ER_full.csv,2009,ER42379
FAM2009ER_full.csv,2009,ER42380
FAM2009ER_full.csv,2009,ER42381
FAM2009ER_full.csv,2009,ER42382
FAM2009ER_full.csv,2009,ER42383
FAM2009ER_full.csv,2009,ER42384
FAM2009ER_full.csv,2009,ER42385
FAM2009ER_full.csv,2009,ER42386
FAM2009ER_full.csv,2009,ER42387
FAM2009ER_full.csv,2009,ER42388
FAM2009ER_full.csv,2009,ER42389
FAM2009ER_full.csv,2009,ER42390
FAM2009ER_full.csv,2009,ER42391
FAM2009ER_full.csv,2009,ER42392
FAM2009ER_full.csv,2009,ER42393
FAM2009ER_full.csv,2009,ER42394
FAM2009ER_full.csv,2009,ER42395
FAM2009ER_full.csv,2009,ER42396
FAM2009ER_full.csv,2009,ER42397
FAM2009ER_full.csv,2009,ER42398
FAM2009ER_full.csv,2009,ER42399
FAM2009ER_full.csv,2009,ER42400
FAM2009ER_full.csv,2009,ER42401
FAM2009ER_full.csv,2009,ER42402
FAM2009ER_full.csv,2009,ER42403
FAM2009ER_full.csv,2009,ER42404
FAM2009ER_full.csv,2009,ER42405
FAM2009ER_full.csv,2009,ER42406
FAM2009ER_full.csv,2009,ER42407
FAM2009ER_full.csv,2009,ER42408
FAM2009ER_full.csv,2009,ER42409
FAM2009ER_full.csv,2009,ER42410
FAM2009ER_full.csv,2009,ER42411
FAM2009ER_full.csv,2009,ER42412
FAM2009ER_full.csv,2009,ER42413
FAM2009ER_full.csv,2009,ER42414
FAM2009ER_full.csv,2009,ER42415
FAM2009ER_full.csv,2009,ER42416
FAM2009ER_full.csv,2009,ER42417
FAM2009ER_full.csv,2009,ER42418
FAM2009ER_full.csv,2009,ER42419
FAM2009ER_full.csv,2009,ER42420
FAM2009ER_full.csv,2009,ER42421
FAM2009ER_full.csv,2009,ER42422
FAM2009ER_full.csv,2009,ER42423
FAM2009ER_full.csv,2009,ER42424
FAM2009ER_full.csv,2009,ER42425
FAM2009ER_full.csv,2009,ER42426
FAM2009ER_full.csv,2009,ER42427
FAM2009ER_full.csv,2009,ER42428
FAM2009ER_full.csv,2009,ER42429
FAM2009ER_full.csv,2009,ER42430
FAM2009ER_full.csv,2009,ER42431
FAM2009ER_full.csv,2009,ER42432
FAM2009ER_full.csv,2009,ER42433
FAM2009ER_full.csv,2009,ER42434
